p13,1379389892188,brush,hist-3,3-26-26-0_
p13,1379389892194,brush,hist-3,3-24-24-0_
p13,1379389892207,brush,hist-3,3-23-23-0_
p13,1379389892249,brush,hist-3,3-21-21-0_
p13,1379389892268,brush,hist-3,3-19-19-0_
p13,1379389892273,brush,hist-3,3-16-16-0_
p13,1379389892306,brush,hist-3,3-15-15-0_
p13,1379389892510,brush,hist-3,3-16-16-0_
p13,1379389892523,brush,hist-3,3-17-17-0_
p13,1379389892541,brush,hist-3,3-18-18-0_
p13,1379389892557,brush,hist-3,3-20-20-0_
p13,1379389892574,brush,hist-3,3-22-22-0_
p13,1379389892591,brush,hist-3,3-23-23-0_
p13,1379389892657,brush,hist-3,3-22-22-0_
p13,1379389892690,brush,hist-3,3-19-19-0_
p13,1379389892708,brush,hist-3,3-15-15-0_
p13,1379389892724,brush,hist-3,3-10-10-0_
p13,1379389892742,brush,hist-3,3-6-6-0_
p13,1379389892757,brush,hist-3,3-3-3-0_
p13,1379389892774,brush,hist-3,3-0-0-0_
p13,1379389893039,brush,hist-3,3-3-3-0_
p13,1379389893057,brush,hist-3,3-5-5-0_
p13,1379389893072,brush,hist-3,3-7-7-0_
p13,1379389893090,brush,hist-3,3-11-11-0_
p13,1379389893106,brush,hist-3,3-17-17-0_
p13,1379389893127,brush,hist-3,3-25-25-0_
p13,1379389893140,clear,undefined,undefined
p13,1379389893156,brush,hist-4,4-3-3-0_
p13,1379389893173,brush,hist-4,4-10-10-0_
p13,1379389893190,brush,hist-4,4-18-18-0_
p13,1379389893206,clear,undefined,undefined
p13,1379389900129,brush,hist-4,4-20-20-0_
p13,1379389900143,brush,hist-4,4-18-18-0_
p13,1379389900157,brush,hist-4,4-16-16-0_
p13,1379389900177,brush,hist-4,4-15-15-0_
p13,1379389900297,brush,hist-4,4-14-14-0_
p13,1379389900323,clear,undefined,undefined
p13,1379389900762,brush,bar-5,5-29-29-1_
p13,1379389901174,clear,undefined,undefined
p13,1379389903254,pan,geo-0-1,0,0
p13,1379389903284,pan,geo-0-1,-1,1
p13,1379389903297,pan,geo-0-1,-1,3
p13,1379389903314,pan,geo-0-1,-2,4
p13,1379389903332,pan,geo-0-1,-3,6
p13,1379389903345,pan,geo-0-1,-2,5
p13,1379389903361,pan,geo-0-1,-3,6
p13,1379389903380,pan,geo-0-1,-3,4
p13,1379389903397,pan,geo-0-1,-2,6
p13,1379389903416,pan,geo-0-1,-5,7
p13,1379389903449,pan,geo-0-1,-7,8
p13,1379389903463,pan,geo-0-1,-4,4
p13,1379389903482,pan,geo-0-1,-3,4
p13,1379389903497,pan,geo-0-1,-4,2
p13,1379389903517,pan,geo-0-1,-2,2
p13,1379389903562,pan,geo-0-1,-1,1
p13,1379389903604,pan,geo-0-1,0,0
p13,1379389903881,pan,geo-0-1,-1,0
p13,1379389903897,pan,geo-0-1,0,0
p13,1379389903915,pan,geo-0-1,0,-1
p13,1379389903933,pan,geo-0-1,-1,-1
p13,1379389903947,pan,geo-0-1,-1,-3
p13,1379389903967,pan,geo-0-1,-2,-4
p13,1379389903997,pan,geo-0-1,-1,-7
p13,1379389904029,pan,geo-0-1,-1,-2
p13,1379389904045,pan,geo-0-1,0,-1
p13,1379389904062,pan,geo-0-1,-1,-1
p13,1379389904132,pan,geo-0-1,0,0
p13,1379389904331,pan,geo-0-1,0,-1
p13,1379389904364,pan,geo-0-1,-1,0
p13,1379389904383,pan,geo-0-1,0,0
p13,1379389904466,pan,geo-0-1,-2,-1
p13,1379389904513,pan,geo-0-1,-1,-1
p13,1379389904529,pan,geo-0-1,-2,-1
p13,1379389904549,pan,geo-0-1,0,-1
p13,1379389904563,pan,geo-0-1,-1,-2
p13,1379389904580,pan,geo-0-1,-1,0
p13,1379389904597,pan,geo-0-1,-1,-1
p13,1379389904613,pan,geo-0-1,0,-1
p13,1379389908248,pan,geo-0-1,-1,-1
p13,1379389908278,pan,geo-0-1,-1,0
p13,1379389908297,pan,geo-0-1,-1,-2
p13,1379389908314,pan,geo-0-1,-2,-1
p13,1379389908349,pan,geo-0-1,-1,-1
p13,1379389908702,pan,geo-0-1,-1,0
p13,1379389908730,pan,geo-0-1,0,0
p13,1379389908745,pan,geo-0-1,-1,1
p13,1379389908799,pan,geo-0-1,0,0
p13,1379389908829,pan,geo-0-1,0,1
p13,1379389908846,pan,geo-0-1,-1,1
p13,1379389908868,pan,geo-0-1,-1,0
p13,1379389908881,pan,geo-0-1,-1,1
p13,1379389908900,pan,geo-0-1,0,0
p13,1379389908916,pan,geo-0-1,-1,0
p13,1379389908930,pan,geo-0-1,-1,1
p13,1379389908952,pan,geo-0-1,0,1
p13,1379389909031,pan,geo-0-1,0,0
p13,1379389910515,pan,geo-0-1,1,0
p13,1379389910567,pan,geo-0-1,2,0
p13,1379389910596,pan,geo-0-1,1,0
p13,1379389910615,pan,geo-0-1,2,0
p13,1379389910630,pan,geo-0-1,2,1
p13,1379389910650,pan,geo-0-1,4,0
p13,1379389910679,pan,geo-0-1,5,0
p13,1379389910713,pan,geo-0-1,6,0
p13,1379389910731,pan,geo-0-1,4,0
p13,1379389910762,pan,geo-0-1,9,-1
p13,1379389910782,pan,geo-0-1,3,0
p13,1379389910799,pan,geo-0-1,2,0
p13,1379389910816,pan,geo-0-1,3,0
p13,1379389910833,pan,geo-0-1,3,-1
p13,1379389910863,pan,geo-0-1,9,-2
p13,1379389910881,pan,geo-0-1,4,0
p13,1379389910898,pan,geo-0-1,3,-1
p13,1379389910915,pan,geo-0-1,4,0
p13,1379389910934,pan,geo-0-1,6,-1
p13,1379389910950,pan,geo-0-1,7,0
p13,1379389910963,pan,geo-0-1,5,0
p13,1379389910996,pan,geo-0-1,4,-1
p13,1379389911016,pan,geo-0-1,1,0
p13,1379389911031,pan,geo-0-1,2,-1
p13,1379389911062,pan,geo-0-1,0,0
p13,1379389911079,pan,geo-0-1,1,-1
p13,1379389911113,pan,geo-0-1,0,-1
p13,1379389911146,pan,geo-0-1,1,-1
p13,1379389911181,pan,geo-0-1,0,0
p13,1379389911199,pan,geo-0-1,0,-1
p13,1379389911230,pan,geo-0-1,1,-1
p13,1379389911263,pan,geo-0-1,2,-2
p13,1379389911279,pan,geo-0-1,1,-1
p13,1379389911314,pan,geo-0-1,2,-4
p13,1379389911346,pan,geo-0-1,1,-1
p13,1379389911364,pan,geo-0-1,0,0
p13,1379389911382,pan,geo-0-1,1,-1
p13,1379389911396,pan,geo-0-1,0,-1
p13,1379389911598,pan,geo-0-1,0,0
p13,1379389912864,pan,geo-0-1,0,1
p13,1379389912897,pan,geo-0-1,-1,1
p13,1379389912913,pan,geo-0-1,0,1
p13,1379389912932,pan,geo-0-1,-1,2
p13,1379389912950,pan,geo-0-1,0,3
p13,1379389912966,pan,geo-0-1,-2,4
p13,1379389912984,pan,geo-0-1,-1,4
p13,1379389912996,pan,geo-0-1,0,3
p13,1379389913016,pan,geo-0-1,-1,2
p13,1379389913033,pan,geo-0-1,0,1
p13,1379389913261,pan,geo-0-1,0,0
p13,1379389918728,clear,undefined,undefined
p13,1379389918782,brush,hist-4,4-1-1-0_
p13,1379389918795,brush,hist-4,4-2-2-0_
p13,1379389918928,brush,hist-4,4-1-1-0_
p13,1379389918960,clear,undefined,undefined
p13,1379389921825,pan,geo-0-1,0,0
p13,1379389921854,pan,geo-0-1,0,-2
p13,1379389921870,pan,geo-0-1,0,-3
p13,1379389921901,pan,geo-0-1,0,-8
p13,1379389922240,pan,geo-0-1,1,-1
p13,1379389922271,pan,geo-0-1,3,-3
p13,1379389922288,pan,geo-0-1,6,-5
p13,1379389922306,pan,geo-0-1,9,-5
p13,1379389922338,pan,geo-0-1,12,-8
p13,1379389922356,pan,geo-0-1,0,0
p13,1379389922424,pan,geo-0-1,1,0
p13,1379389922453,pan,geo-0-1,3,-2
p13,1379389922473,pan,geo-0-1,8,-3
p13,1379389922502,pan,geo-0-1,13,-4
p13,1379389922523,pan,geo-0-1,2,-1
p13,1379389922555,pan,geo-0-1,3,-2
p13,1379389922570,pan,geo-0-1,0,-2
p13,1379389922589,pan,geo-0-1,1,-1
p13,1379389922622,pan,geo-0-1,0,-1
p13,1379389922672,pan,geo-0-1,3,-2
p13,1379389922704,pan,geo-0-1,1,0
p13,1379389922722,pan,geo-0-1,0,0
p13,1379389922755,pan,geo-0-1,1,0
p13,1379389922791,pan,geo-0-1,1,-1
p13,1379389922822,pan,geo-0-1,1,0
p13,1379389922840,pan,geo-0-1,0,0
p13,1379389929941,pan,geo-0-1,-289,173
p13,1379389930331,zoom,geo-0-1,3
p13,1379389930340,pan,geo-0-1,0,0
p13,1379389930418,tile cached,undefined,0-256-511-3x1-768-1023-3x4-0-23-0
p13,1379389930418,tile cached,undefined,0-512-767-3x1-768-1023-3x4-0-23-0
p13,1379389930418,tile cached,undefined,0-768-1023-3x1-768-1023-3x4-0-23-0
p13,1379389930422,tile cached,undefined,0-0-255-3x1-768-1023-3x4-0-23-0
p13,1379389930426,tile cached,undefined,0-0-255-3x1-0-255-3x2-0-11-0
p13,1379389930426,tile cached,undefined,0-256-511-3x1-0-255-3x2-0-11-0
p13,1379389930426,tile cached,undefined,0-0-255-3x1-256-511-3x2-0-11-0
p13,1379389930440,tile cached,undefined,0-256-511-3x1-256-511-3x2-0-11-0
p13,1379389930467,tile cached,undefined,0-512-767-3x1-0-255-3x2-0-11-0
p13,1379389930467,tile cached,undefined,0-0-255-3x1-0-255-3x3-0-30-0
p13,1379389930470,tile cached,undefined,0-512-767-3x1-256-511-3x2-0-11-0
p13,1379389930472,tile cached,undefined,0-256-511-3x1-0-255-3x3-0-30-0
p13,1379389930479,tile cached,undefined,0-0-255-3x1-256-511-3x3-0-30-0
p13,1379389930488,tile cached,undefined,0-256-511-3x1-256-511-3x3-0-30-0
p13,1379389930495,tile cached,undefined,0-512-767-3x1-0-255-3x3-0-30-0
p13,1379389930505,tile cached,undefined,0-0-255-3x1-0-255-3x4-0-23-0
p13,1379389930505,tile cached,undefined,0-512-767-3x1-256-511-3x3-0-30-0
p13,1379389930516,tile cached,undefined,0-0-255-3x1-256-511-3x4-0-23-0
p13,1379389930527,tile cached,undefined,0-256-511-3x1-0-255-3x4-0-23-0
p13,1379389930529,tile cached,undefined,0-256-511-3x1-256-511-3x4-0-23-0
p13,1379389930534,tile cached,undefined,0-512-767-3x1-0-255-3x4-0-23-0
p13,1379389930549,tile cached,undefined,0-512-767-3x1-256-511-3x4-0-23-0
p13,1379389930552,tile cached,undefined,0-0-255-3x1-0-255-3x5-0-29-1
p13,1379389930553,tile cached,undefined,0-0-255-3x1-256-511-3x5-0-29-1
p13,1379389930555,tile cached,undefined,0-256-511-3x1-0-255-3x5-0-29-1
p13,1379389930574,tile cached,undefined,0-256-511-3x1-256-511-3x5-0-29-1
p13,1379389930573,tile cached,undefined,0-512-767-3x1-0-255-3x5-0-29-1
p13,1379389930578,tile cached,undefined,0-512-767-3x1-256-511-3x5-0-29-1
p13,1379389930578,tile cached,undefined,0-256-511-4x1-256-511-4x4-0-23-0
p13,1379389930596,tile cached,undefined,0-256-511-4x1-512-767-4x4-0-23-0
p13,1379389930606,tile cached,undefined,0-256-511-4x1-768-1023-4x4-0-23-0
p13,1379389930614,tile cached,undefined,0-512-767-4x1-256-511-4x4-0-23-0
p13,1379389930614,tile cached,undefined,0-768-1023-4x1-256-511-4x4-0-23-0
p13,1379389930632,tile cached,undefined,0-512-767-4x1-512-767-4x4-0-23-0
p13,1379389930632,tile cached,undefined,0-768-1023-4x1-512-767-4x4-0-23-0
p13,1379389930633,tile cached,undefined,0-768-1023-4x1-768-1023-4x4-0-23-0
p13,1379389930633,tile cached,undefined,0-512-767-4x1-768-1023-4x4-0-23-0
p13,1379389930649,tile cached,undefined,0-1024-1279-4x1-256-511-4x4-0-23-0
p13,1379389930649,tile cached,undefined,0-1280-1535-4x1-256-511-4x4-0-23-0
p13,1379389930671,tile cached,undefined,0-1024-1279-4x1-768-1023-4x4-0-23-0
p13,1379389930671,tile cached,undefined,0-1280-1535-4x1-512-767-4x4-0-23-0
p13,1379389930671,tile cached,undefined,0-1024-1279-4x1-512-767-4x4-0-23-0
p13,1379389930677,tile cached,undefined,0-1280-1535-4x1-768-1023-4x4-0-23-0
p13,1379389931443,pan,geo-0-1,445,346
p13,1379389931811,zoom,geo-0-1,4
p13,1379389931820,pan,geo-0-1,0,0
p13,1379389931931,tile cached,undefined,0-512-767-3x1-512-767-3x2-0-11-0
p13,1379389931931,tile cached,undefined,0-512-767-3x1-768-1023-3x2-0-11-0
p13,1379389931932,tile cached,undefined,0-768-1023-3x1-768-1023-3x2-0-11-0
p13,1379389931932,tile cached,undefined,0-768-1023-3x1-512-767-3x2-0-11-0
p13,1379389931932,tile cached,undefined,0-0-255-3x1-512-767-3x2-0-11-0
p13,1379389931932,tile cached,undefined,0-0-255-3x1-768-1023-3x2-0-11-0
p13,1379389931932,tile cached,undefined,0-512-767-3x1-512-767-3x3-0-30-0
p13,1379389931932,tile cached,undefined,0-512-767-3x1-768-1023-3x3-0-30-0
p13,1379389931932,tile cached,undefined,0-768-1023-3x1-512-767-3x3-0-30-0
p13,1379389931933,tile cached,undefined,0-768-1023-3x1-768-1023-3x3-0-30-0
p13,1379389931945,tile cached,undefined,0-0-255-3x1-512-767-3x3-0-30-0
p13,1379389931945,tile cached,undefined,0-0-255-3x1-768-1023-3x3-0-30-0
p13,1379389931945,tile cached,undefined,0-512-767-3x1-512-767-3x4-0-23-0
p13,1379389931946,tile cached,undefined,0-512-767-3x1-768-1023-3x4-0-23-0
p13,1379389931960,tile cached,undefined,0-768-1023-3x1-768-1023-3x4-0-23-0
p13,1379389931961,tile cached,undefined,0-768-1023-3x1-512-767-3x4-0-23-0
p13,1379389932001,tile cached,undefined,0-0-255-3x1-512-767-3x4-0-23-0
