p5,1377643361740,clear,undefined,undefined
p5,1377643361951,brush,bar-5,5-0-0-1_
p5,1377643361959,brush,bar-5,5-1-1-1_
p5,1377643362173,brush,bar-5,5-0-0-1_
p5,1377643362869,range select,bar-5,5-0-0-1_
p5,1377643377532,range select,bar-5,5-3-3-1_
p5,1377643379173,range select,bar-5,5-1-1-1_
p5,1377643386958,repaintBg,log scale,true
p5,1377643386960,repaintFg,log scale,true
p5,1377643394428,pan,geo-0-1,0,0
p5,1377643394458,pan,geo-0-1,-4,1
p5,1377643394483,pan,geo-0-1,-7,2
p5,1377643394500,pan,geo-0-1,0,1
p5,1377643394517,pan,geo-0-1,-1,0
p5,1377643394564,pan,geo-0-1,0,0
p5,1377643394615,pan,geo-0-1,0,1
p5,1377643394658,pan,geo-0-1,-1,3
p5,1377643394697,pan,geo-0-1,0,0
p5,1377643394744,pan,geo-0-1,0,1
p5,1377643394822,pan,geo-0-1,0,0
p5,1377643411105,pan,geo-0-1,0,2
p5,1377643411121,pan,geo-0-1,0,4
p5,1377643411150,pan,geo-0-1,0,9
p5,1377643411176,pan,geo-0-1,0,7
p5,1377643411205,pan,geo-0-1,-1,13
p5,1377643411222,pan,geo-0-1,-1,3
p5,1377643411271,pan,geo-0-1,0,3
p5,1377643411303,pan,geo-0-1,0,1
p5,1377643411726,pan,geo-0-1,0,-1
p5,1377643411758,pan,geo-0-1,2,-7
p5,1377643411789,pan,geo-0-1,1,-5
p5,1377643411807,pan,geo-0-1,1,-4
p5,1377643411841,pan,geo-0-1,1,-9
p5,1377643411888,pan,geo-0-1,0,-6
p5,1377643411907,pan,geo-0-1,1,-3
p5,1377643411933,pan,geo-0-1,0,-2
p5,1377643411950,pan,geo-0-1,0,-1
p5,1377643411971,pan,geo-0-1,0,0
p5,1377643411983,pan,geo-0-1,0,-1
p5,1377643412189,pan,geo-0-1,0,0
p5,1377643412221,pan,geo-0-1,1,0
p5,1377643412234,pan,geo-0-1,0,-1
p5,1377643412269,pan,geo-0-1,1,-1
p5,1377643412286,pan,geo-0-1,0,-1
p5,1377643412305,pan,geo-0-1,0,-2
p5,1377643412335,pan,geo-0-1,1,-3
p5,1377643412587,pan,geo-0-1,0,-1
p5,1377643412602,pan,geo-0-1,0,-3
p5,1377643412668,pan,geo-0-1,1,-1
p5,1377643412685,pan,geo-0-1,0,-1
p5,1377643412879,pan,geo-0-1,0,0
p5,1377643414822,clear,undefined,undefined
p5,1377643415247,brush,bar-5,5-0-0-1_
p5,1377643415330,brush,bar-5,5-1-1-1_
p5,1377643415863,brush,bar-5,5-0-0-1_
p5,1377643416240,range select,bar-5,5-0-0-1_
p5,1377643419294,pan,geo-0-1,0,0
p5,1377643419331,pan,geo-0-1,-2,-1
p5,1377643419354,pan,geo-0-1,-14,-6
p5,1377643419371,pan,geo-0-1,-12,-5
p5,1377643419387,pan,geo-0-1,-9,-3
p5,1377643419405,pan,geo-0-1,-11,-3
p5,1377643419431,pan,geo-0-1,-14,-2
p5,1377643419642,pan,geo-0-1,-4,0
p5,1377643419675,pan,geo-0-1,-16,2
p5,1377643419706,pan,geo-0-1,-9,2
p5,1377643419731,pan,geo-0-1,-6,1
p5,1377643419757,pan,geo-0-1,-8,2
p5,1377643419796,pan,geo-0-1,-1,0
p5,1377643420037,pan,geo-0-1,-1,1
p5,1377643420051,pan,geo-0-1,-3,1
p5,1377643420067,pan,geo-0-1,-3,2
p5,1377643420103,pan,geo-0-1,-2,1
p5,1377643420121,pan,geo-0-1,-3,1
p5,1377643420135,pan,geo-0-1,-1,0
p5,1377643420153,pan,geo-0-1,-2,1
p5,1377643420388,pan,geo-0-1,-2,0
p5,1377643420435,pan,geo-0-1,-5,1
p5,1377643420451,pan,geo-0-1,-7,0
p5,1377643420469,pan,geo-0-1,-4,0
p5,1377643420506,pan,geo-0-1,-2,0
p5,1377643420535,pan,geo-0-1,-1,0
p5,1377643420563,pan,geo-0-1,0,0
p5,1377643420584,pan,geo-0-1,-1,0
p5,1377643420602,pan,geo-0-1,0,0
p5,1377643420938,pan,geo-0-1,1,0
p5,1377643420952,pan,geo-0-1,2,0
p5,1377643420969,pan,geo-0-1,2,-1
p5,1377643420986,pan,geo-0-1,1,0
p5,1377643421913,pan,geo-0-1,2,-1
p5,1377643421942,pan,geo-0-1,1,0
p5,1377643421970,pan,geo-0-1,1,-1
p5,1377643421987,pan,geo-0-1,1,0
p5,1377643422374,pan,geo-0-1,2,0
p5,1377643422405,pan,geo-0-1,1,0
p5,1377643422438,pan,geo-0-1,4,0
p5,1377643422455,pan,geo-0-1,1,0
p5,1377643422489,pan,geo-0-1,2,0
p5,1377643422507,pan,geo-0-1,1,0
p5,1377643422531,pan,geo-0-1,2,0
p5,1377643422556,pan,geo-0-1,3,0
p5,1377643422575,pan,geo-0-1,1,0
p5,1377643422604,pan,geo-0-1,2,2
p5,1377643422890,pan,geo-0-1,0,0
p5,1377643422904,pan,geo-0-1,3,0
p5,1377643422938,pan,geo-0-1,2,1
p5,1377643422955,pan,geo-0-1,3,0
p5,1377643422974,pan,geo-0-1,2,1
p5,1377643423006,pan,geo-0-1,3,0
p5,1377643423047,pan,geo-0-1,2,1
p5,1377643423309,pan,geo-0-1,3,0
p5,1377643423340,pan,geo-0-1,12,2
p5,1377643423360,pan,geo-0-1,5,1
p5,1377643423390,pan,geo-0-1,5,0
p5,1377643423409,pan,geo-0-1,4,1
p5,1377643423443,pan,geo-0-1,10,2
p5,1377643423484,pan,geo-0-1,4,1
p5,1377643423839,pan,geo-0-1,2,1
p5,1377643423852,pan,geo-0-1,6,0
p5,1377643423869,pan,geo-0-1,2,1
p5,1377643423888,pan,geo-0-1,3,1
p5,1377643423902,pan,geo-0-1,2,0
p5,1377643423922,pan,geo-0-1,2,1
p5,1377643423954,pan,geo-0-1,4,0
p5,1377643423969,pan,geo-0-1,3,1
p5,1377643423986,pan,geo-0-1,4,1
p5,1377643424010,pan,geo-0-1,2,0
p5,1377643424040,pan,geo-0-1,2,1
p5,1377643424068,pan,geo-0-1,1,0
p5,1377643424118,pan,geo-0-1,0,1
p5,1377643424163,pan,geo-0-1,0,0
p5,1377643426571,pan,geo-0-1,2,0
p5,1377643426586,pan,geo-0-1,3,0
p5,1377643426604,pan,geo-0-1,4,0
p5,1377643426619,pan,geo-0-1,5,1
p5,1377643426636,pan,geo-0-1,5,0
p5,1377643426663,pan,geo-0-1,4,1
p5,1377643426689,pan,geo-0-1,5,2
p5,1377643426706,pan,geo-0-1,2,1
p5,1377643426725,pan,geo-0-1,0,2
p5,1377643426892,pan,geo-0-1,0,0
p5,1377643427941,pan,geo-0-1,1,0
p5,1377643427957,pan,geo-0-1,3,0
